# TeroSocial - registro de accesos de la plataforma
# Formato: fecha_utc | cuenta | ip | cliente | resultado
# Rotacion: mensual. Retencion: 400 dias (politica interna, ver PLT-2291).
# ADVERTENCIA: este archivo no deberia estar en una carpeta servida.

2026-08-05T14:22:07Z | marce.peluquera      | 179.31.141.165 | Chrome 127 / Windows 10   | ok
2026-08-05T13:58:41Z | elrusodelquiosco     | 179.31.115.13  | movil/1.7 Android 13      | ok
2026-08-05T13:10:52Z | laura.rambla         | 181.44.54.146  | Chrome 127 / Windows 10   | ok
2026-08-05T12:40:19Z | charrua_libre        | 179.31.55.44   | Firefox 129 / Windows 11  | ok
2026-08-05T12:31:55Z | charrua_libre        | 179.31.55.44   | Firefox 129 / Windows 11  | fallo de contrasena
2026-08-05T11:02:13Z | dona_elsa_47         | 190.64.159.86  | movil/1.7 Android 11      | ok
2026-08-05T10:47:19Z | pastelera.zuni       | 190.64.88.31   | movil/1.7 Android 10      | ok
2026-08-05T09:15:44Z | tambero_sanjose      | 190.112.77.9   | movil/1.7 Android 12      | ok
2026-08-05T08:30:03Z | panaderia_dosorillas | 179.31.98.5    | movil/1.7 Android 12      | ok
2026-08-05T07:05:41Z | verduleria_la_yapa   | 190.112.140.9  | movil/1.7 Android 13      | ok
2026-08-05T06:22:10Z | productor_durazno    | 190.112.60.7   | movil/1.7 Android 11      | ok
2026-08-05T05:11:02Z | tambero_sanjose      | 190.112.77.9   | movil/1.7 Android 12      | ok
2026-08-05T03:20:38Z | remis_nocturno_mvd   | 186.52.90.14   | movil/1.7 Android 10      | ok
2026-08-04T23:47:59Z | ojoscerrados_uy      | 179.27.230.156 | Tor Browser / Linux       | ok
2026-08-04T23:44:12Z | ojoscerrados_uy      | 45.134.22.187  | Tor Browser / Linux       | ok
2026-08-04T22:10:05Z | mateamargo_87        | 179.31.55.44   | movil/1.7 Android 15      | ok
2026-08-04T21:58:33Z | investigador_montevideo | 190.135.7.88 | Chrome 118 / Windows 10  | ok
2026-08-04T21:12:38Z | profe_hernandez_hist | 179.27.140.22  | Chrome 127 / Windows 10   | ok
2026-08-04T20:40:11Z | nurse_valentina      | 167.62.88.30   | movil/1.7 Android 14      | ok
2026-08-04T19:30:21Z | sofi.tortasfritas    | 190.112.188.105| movil/1.7 iOS 19          | ok
2026-08-04T18:02:44Z | la_verdad_del_norte  | 167.62.201.33  | movil/1.7 Android 13      | ok
2026-08-04T17:55:29Z | coleccionista_cx     | 179.31.202.9   | Chrome 101 / Windows 7    | ok
2026-08-04T16:48:02Z | taxi_cx_1420         | 186.52.60.20   | movil/1.7 Android 10      | ok
2026-08-04T15:22:10Z | caro.veterinaria     | 167.62.155.82  | Chrome 127 / macOS        | ok
2026-08-04T13:44:29Z | mama_alerta_uy       | 190.112.174.16 | movil/1.7 Android 12      | ok
2026-08-04T12:03:47Z | feriante_tristan     | 190.135.55.12  | movil/1.7 Android 12      | ok
2026-08-04T11:19:07Z | hacker_del_prado     | 190.112.218.76 | Firefox 129 / Linux       | ok
2026-08-04T10:20:15Z | sofi.tortasfritas    | 190.112.188.105 | movil/1.7 iOS 19          | ok
2026-08-04T09:55:41Z | laura.rambla         | 181.44.54.146  | Chrome 127 / Windows 10   | ok
2026-08-04T08:12:03Z | camionero_ruta5      | 167.62.44.201  | movil/1.7 Android 11      | ok
2026-08-04T07:41:58Z | apicultor_florida    | 190.64.30.15   | movil/1.7 Android 11      | ok
2026-08-03T23:02:33Z | dj_candombe          | 179.31.120.4   | Chrome 127 / Linux        | ok
2026-08-03T22:41:17Z | charrua_libre        | 179.31.55.44   | Firefox 129 / Windows 11  | ok
2026-08-03T22:38:02Z | mateamargo_87        | 179.31.55.44   | Firefox 129 / Windows 11  | ok
